"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","WhatsApp QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","VCard QR type",""
"broken","Tue Nov 12 20:19:17 GMT 2024","Tue Nov 12 20:19:17 GMT 2024","0","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[default_pricing_button-en-chromium]",""
"broken","Tue Nov 12 20:19:17 GMT 2024","Tue Nov 12 20:19:17 GMT 2024","0","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_full_refund_options[full_refund_plan_button_cancel_subscription-en-chromium]",""
"broken","Tue Nov 12 20:19:18 GMT 2024","Tue Nov 12 20:19:18 GMT 2024","0","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_8_99_monthly_button-en-chromium]",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Facebook QR type",""
"broken","Tue Nov 12 20:19:20 GMT 2024","Tue Nov 12 20:19:20 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Instagram QR type",""
"broken","Tue Nov 12 20:19:17 GMT 2024","Tue Nov 12 20:19:17 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","VCard QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Business QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Website QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_50_one_time_button-en-chromium]",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","MP3 QR type",""
"broken","Tue Nov 12 20:19:22 GMT 2024","Tue Nov 12 20:19:22 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Social_media QR type",""
"broken","Tue Nov 12 20:19:22 GMT 2024","Tue Nov 12 20:19:22 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Menu-Menu QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Video QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Menu-PDF QR type",""
"broken","Tue Nov 12 20:19:20 GMT 2024","Tue Nov 12 20:19:20 GMT 2024","0","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Coupon QR type",""
"broken","Tue Nov 12 20:19:20 GMT 2024","Tue Nov 12 20:19:20 GMT 2024","1","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","PDF QR type",""
"broken","Tue Nov 12 20:19:18 GMT 2024","Tue Nov 12 20:19:18 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Image QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Menu-Menu QR type",""
"broken","Tue Nov 12 20:19:20 GMT 2024","Tue Nov 12 20:19:20 GMT 2024","0","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Apps QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Video QR type",""
"broken","Tue Nov 12 20:19:18 GMT 2024","Tue Nov 12 20:19:18 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Coupon QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Social_media QR type",""
"broken","Tue Nov 12 20:19:18 GMT 2024","Tue Nov 12 20:19:18 GMT 2024","0","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_70_promo_button-en-chromium]",""
"broken","Tue Nov 12 20:19:22 GMT 2024","Tue Nov 12 20:19:22 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Coupon QR type",""
"broken","Tue Nov 12 20:19:19 GMT 2024","Tue Nov 12 20:19:19 GMT 2024","0","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Video QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Menu-Link QR type",""
"broken","Tue Nov 12 20:19:21 GMT 2024","Tue Nov 12 20:19:21 GMT 2024","0","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Apps QR type",""
