"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41811","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:55:21 GMT 2024","broken","Fri Dec 06 11:56:03 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","28154","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:58:10 GMT 2024","passed","Fri Dec 06 11:58:38 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","29079","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:59:01 GMT 2024","passed","Fri Dec 06 11:59:30 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","49940","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:52:36 GMT 2024","broken","Fri Dec 06 11:53:26 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","32685","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:38:22 GMT 2024","passed","Fri Dec 06 11:38:55 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","31744","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:37:39 GMT 2024","passed","Fri Dec 06 11:38:11 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","21323","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:40:23 GMT 2024","passed","Fri Dec 06 11:40:44 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","0","Comparative mobile preview and web view - chromium","tests.tests_frame_comperatives","Fri Dec 06 11:56:18 GMT 2024","skipped","Fri Dec 06 11:56:18 GMT 2024","TestFrameComparatives","test_frame_comperatives","",""
"","47099","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 11:48:12 GMT 2024","broken","Fri Dec 06 11:48:59 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_eps_download_from_welcome_modal","",""
"","35843","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:38:41 GMT 2024","passed","Fri Dec 06 11:39:17 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","48212","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 11:42:47 GMT 2024","broken","Fri Dec 06 11:43:36 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","40761","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:55:16 GMT 2024","broken","Fri Dec 06 11:55:57 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","39500","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:38:31 GMT 2024","passed","Fri Dec 06 11:39:11 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","0","Comparative mobile preview and web view - chromium","tests.tests_frame_comperatives","Fri Dec 06 11:56:18 GMT 2024","skipped","Fri Dec 06 11:56:18 GMT 2024","TestFrameComparatives","test_frame_comperatives","",""
"","54536","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:50:15 GMT 2024","broken","Fri Dec 06 11:51:09 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_eps_download_from_welcome_modal","",""
"","45876","Admin create payment link - chromium","tests.tests_generation_unic_admin_links","Fri Dec 06 12:02:26 GMT 2024","passed","Fri Dec 06 12:03:11 GMT 2024","TestAdminLinkGeneration","test_admin_link_generation","",""
"","60660","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 11:40:42 GMT 2024","broken","Fri Dec 06 11:41:42 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","27855","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:57:56 GMT 2024","passed","Fri Dec 06 11:58:24 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_jpeg_download_welcome_modal","",""
"","48372","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 11:43:37 GMT 2024","broken","Fri Dec 06 11:44:26 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","38178","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:36:40 GMT 2024","passed","Fri Dec 06 11:37:18 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","27568","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:59:07 GMT 2024","passed","Fri Dec 06 11:59:34 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","41199","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:59:52 GMT 2024","broken","Fri Dec 06 12:00:33 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","49762","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:52:45 GMT 2024","broken","Fri Dec 06 11:53:34 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","48236","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:50:15 GMT 2024","broken","Fri Dec 06 11:51:03 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_eps_download_from_welcome_modal","",""
"","25997","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:58:49 GMT 2024","passed","Fri Dec 06 11:59:15 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","0","Comparative mobile preview and web view - chromium","tests.tests_frame_comperatives","Fri Dec 06 11:56:18 GMT 2024","skipped","Fri Dec 06 11:56:18 GMT 2024","TestFrameComparatives","test_frame_comperatives","",""
"","0","Comparative mobile preview and web view - chromium","tests.tests_frame_comperatives","Fri Dec 06 11:56:18 GMT 2024","skipped","Fri Dec 06 11:56:18 GMT 2024","TestFrameComparatives","test_frame_comperatives","",""
"","43203","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:51:36 GMT 2024","broken","Fri Dec 06 11:52:19 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","32485","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:37:51 GMT 2024","passed","Fri Dec 06 11:38:24 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","34264","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 12:01:57 GMT 2024","passed","Fri Dec 06 12:02:32 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","40818","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:57:28 GMT 2024","passed","Fri Dec 06 11:58:09 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","52359","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:54:20 GMT 2024","broken","Fri Dec 06 11:55:12 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","53779","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 11:49:04 GMT 2024","broken","Fri Dec 06 11:49:57 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_svg_download_from_welcome_modal","",""
"","35107","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:38:42 GMT 2024","passed","Fri Dec 06 11:39:18 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_png_download_welcome_modal","",""
"","48596","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:52:59 GMT 2024","broken","Fri Dec 06 11:53:47 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","52820","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 11:53:06 GMT 2024","broken","Fri Dec 06 11:53:59 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","31684","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 11:59:11 GMT 2024","passed","Fri Dec 06 11:59:42 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","35341","QR type - chromium","tests.tests_nsf_flow","Fri Dec 06 12:00:58 GMT 2024","passed","Fri Dec 06 12:01:34 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","133714","QR type - chromium","tests.tests_default_flow","Fri Dec 06 11:42:16 GMT 2024","passed","Fri Dec 06 11:44:30 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_download_all_variables_default_modal","",""
