"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55654","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 13:28:56 GMT 2024","passed","Wed Dec 04 13:29:52 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_pdf_download_from_welcome_modal","",""
"","19179","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 13:28:52 GMT 2024","failed","Wed Dec 04 13:29:12 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","32457","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:46:08 GMT 2024","passed","Wed Dec 04 13:46:41 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","35948","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:24:59 GMT 2024","passed","Wed Dec 04 13:25:35 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","17637","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:46:45 GMT 2024","failed","Wed Dec 04 13:47:03 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_eps_download_from_welcome_modal","",""
"","35101","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 13:31:38 GMT 2024","broken","Wed Dec 04 13:32:13 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","31851","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:25:57 GMT 2024","passed","Wed Dec 04 13:26:29 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","35630","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:23:30 GMT 2024","passed","Wed Dec 04 13:24:05 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","38009","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:22:57 GMT 2024","passed","Wed Dec 04 13:23:35 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","34166","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:47:19 GMT 2024","passed","Wed Dec 04 13:47:53 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_eps_download_from_welcome_modal","",""
"","27362","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:26:50 GMT 2024","passed","Wed Dec 04 13:27:17 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","34742","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:50:54 GMT 2024","passed","Wed Dec 04 13:51:29 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","33335","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:50:14 GMT 2024","passed","Wed Dec 04 13:50:47 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","32365","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:25:33 GMT 2024","passed","Wed Dec 04 13:26:05 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","25660","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:26:26 GMT 2024","failed","Wed Dec 04 13:26:52 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_png_download_welcome_modal","",""
"","29098","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:22:55 GMT 2024","failed","Wed Dec 04 13:23:24 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","29818","QR type - chromium","tests.tests_default_flow","Wed Dec 04 13:24:30 GMT 2024","passed","Wed Dec 04 13:25:00 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","27045","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 13:46:43 GMT 2024","passed","Wed Dec 04 13:47:10 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","61997","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 13:31:10 GMT 2024","broken","Wed Dec 04 13:32:12 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_eps_download_from_welcome_modal","",""
