"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27999","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:04:20 GMT 2024","failed","Wed Dec 04 13:04:48 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","46986","Admin full refund options - webkit","tests.tests_generation_unic_admin_links","Wed Dec 04 13:10:04 GMT 2024","broken","Wed Dec 04 13:10:51 GMT 2024","TestAdminLinkGeneration","test_admin_link_generation","",""
"","31348","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:37:04 GMT 2024","failed","Wed Dec 04 12:37:35 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","43784","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Wed Dec 04 12:57:53 GMT 2024","passed","Wed Dec 04 12:58:36 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","28597","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:08:13 GMT 2024","passed","Wed Dec 04 13:08:42 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","30236","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:06:09 GMT 2024","failed","Wed Dec 04 13:06:39 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","23955","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:03:18 GMT 2024","failed","Wed Dec 04 13:03:42 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","48039","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:34:02 GMT 2024","passed","Wed Dec 04 12:34:50 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","31995","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:03:39 GMT 2024","failed","Wed Dec 04 13:04:11 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","47419","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:34:13 GMT 2024","passed","Wed Dec 04 12:35:00 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","58975","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 12:47:55 GMT 2024","broken","Wed Dec 04 12:48:54 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_svg_download_from_welcome_modal","",""
"","0","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 12:52:54 GMT 2024","broken","Wed Dec 04 12:52:54 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_eps_download_from_welcome_modal","",""
"","41813","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:35:42 GMT 2024","passed","Wed Dec 04 12:36:24 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","0","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Wed Dec 04 12:44:57 GMT 2024","broken","Wed Dec 04 12:44:57 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_eps_download_from_welcome_modal","",""
"","34056","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:05:12 GMT 2024","passed","Wed Dec 04 13:05:46 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","28399","QR type - webkit","tests.tests_nsf_flow","Wed Dec 04 13:04:21 GMT 2024","passed","Wed Dec 04 13:04:49 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","35398","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:36:59 GMT 2024","passed","Wed Dec 04 12:37:34 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","35576","QR type - webkit","tests.tests_default_flow","Wed Dec 04 12:36:32 GMT 2024","passed","Wed Dec 04 12:37:08 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
