"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","32055","Sign up flow test for coupon_qr_create with 1024x1024 resolution","tests.tests_nsf_flow","Tue Dec 31 09:40:41 GMT 2024","passed","Tue Dec 31 09:41:13 GMT 2024","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"
        Test verifies the sign-up flow specifically for website QR codes:
        1. Creates website/menu link QR code
        2. Verifies create button state
        3. Submits email form
        4. Validates successful sign-up
        5. Downloads QR code with specified resolution
    ","23536","Website QR code sign up flow for menu_link_qr_create with 2048x2048 resolution","tests.tests_nsf_flow","Tue Dec 31 09:50:02 GMT 2024","passed","Tue Dec 31 09:50:25 GMT 2024","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","43651","Create links_qr_create QR code with 1024x1024 PNG download","tests.tests_default_flow","Tue Dec 31 09:41:04 GMT 2024","passed","Tue Dec 31 09:41:47 GMT 2024","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","39288","Create vcard_qr_create QR code with Default PNG download","tests.tests_default_flow","Tue Dec 31 09:37:11 GMT 2024","passed","Tue Dec 31 09:37:50 GMT 2024","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","29991","Test CFF sign up with image_qr_create and resolution A2","tests.tests_dpf_flow.dpf_link_cff_flow","Tue Dec 31 09:53:32 GMT 2024","passed","Tue Dec 31 09:54:02 GMT 2024","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","40602","Test CFF sign up with facebook_qr_create and resolution Default","tests.tests_dpf_flow.dpf_link_cff_flow","Tue Dec 31 09:45:28 GMT 2024","passed","Tue Dec 31 09:46:08 GMT 2024","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","42655","test_dpf_sign_up_qr_type[-2048x2048-wifi_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Tue Dec 31 09:58:52 GMT 2024","passed","Tue Dec 31 09:59:34 GMT 2024","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","37589","Sign up flow test for vcard_qr_create with Default resolution","tests.tests_nsf_flow","Tue Dec 31 09:35:57 GMT 2024","passed","Tue Dec 31 09:36:34 GMT 2024","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","39512","Create image_qr_create QR code with 4096x4096 PNG download","tests.tests_default_flow","Tue Dec 31 09:50:33 GMT 2024","passed","Tue Dec 31 09:51:12 GMT 2024","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"
        Test verifies the sign-up flow with different QR code types:
        1. Creates QR code with specified method
        2. Completes all required steps
        3. Verifies email submission
        4. Checks successful sign-up
        5. Downloads QR code in SVG format
    ","36483","Sign up flow test for mp3_qr_create with 4096x4096 resolution","tests.tests_nsf_flow","Tue Dec 31 09:46:21 GMT 2024","passed","Tue Dec 31 09:46:57 GMT 2024","TestNSFSignUpFlowSvg","test_nsf_sign_up_svg_download_welcome_modal","",""
