"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test creating QR code with different methods and downloading as PNG","43471","Create links_qr_create QR code with 4096x4096 PNG download","tests.tests_default_flow","Sat Jan 04 02:10:59 GMT 2025","passed","Sat Jan 04 02:11:42 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","42991","Create coupon_qr_create QR code with Default PNG download","tests.tests_default_flow","Sat Jan 04 01:59:09 GMT 2025","passed","Sat Jan 04 01:59:52 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","27274","test_default_sign_up_website_qr_type[-512x512-website_qr_create]","tests.tests_default_flow","Sat Jan 04 02:13:34 GMT 2025","passed","Sat Jan 04 02:14:02 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Verify QR code creation and PDF download functionality with different creation methods and resolutions","0","Test CFF sign up with coupon_qr_create and resolution A0","tests.tests_dpf_flow.dpf_link_cff_flow","Sat Jan 04 02:14:33 GMT 2025","broken","Sat Jan 04 02:14:33 GMT 2025","TestCFFSignUpFlowPdf","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","34765","Create links_qr_create QR code with 1024x1024 PNG download","tests.tests_default_flow","Sat Jan 04 02:01:20 GMT 2025","passed","Sat Jan 04 02:01:55 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","28941","test_default_sign_up_website_qr_type[-2048x2048-website_qr_create]","tests.tests_default_flow","Sat Jan 04 02:13:46 GMT 2025","passed","Sat Jan 04 02:14:15 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-512x512-wifi_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:06:02 GMT 2025","broken","Sat Jan 04 02:06:02 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","0","test_dpf_sign_up_qr_type[-1024x1024-video_qr_create]","tests.tests_dpf_flow.dpf_link_dpf_flow","Sat Jan 04 02:12:15 GMT 2025","broken","Sat Jan 04 02:12:15 GMT 2025","TestDPFSignUpFlowJpeg","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","54512","Create vcard_qr_create QR code with 4096x4096 PNG download","tests.tests_default_flow","Sat Jan 04 02:12:35 GMT 2025","passed","Sat Jan 04 02:13:29 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
"Test creating QR code with different methods and downloading as PNG","44011","Create image_qr_create QR code with Default PNG download","tests.tests_default_flow","Sat Jan 04 01:59:47 GMT 2025","passed","Sat Jan 04 02:00:31 GMT 2025","TestDefaultSignUpFlowPng","test_default_sign_up_png_download_welcome_modal","",""
