"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36562","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:23:48 GMT 2024","passed","Fri Dec 06 10:24:24 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","54278","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:05:17 GMT 2024","passed","Fri Dec 06 10:06:11 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","26763","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:25:27 GMT 2024","passed","Fri Dec 06 10:25:53 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","56966","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:19:27 GMT 2024","broken","Fri Dec 06 10:20:24 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_svg_download_from_welcome_modal","",""
"","58519","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:25:28 GMT 2024","passed","Fri Dec 06 10:26:26 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","42161","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:25:28 GMT 2024","passed","Fri Dec 06 10:26:11 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","58484","QR type - webkit","tests.tests_nsf_flow","Fri Dec 06 10:34:28 GMT 2024","passed","Fri Dec 06 10:35:27 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","40205","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:22:51 GMT 2024","passed","Fri Dec 06 10:23:31 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","188485","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:15:35 GMT 2024","passed","Fri Dec 06 10:18:44 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_download_all_variables_default_modal","",""
"","60849","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:10:17 GMT 2024","passed","Fri Dec 06 10:11:18 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","52634","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:11:22 GMT 2024","passed","Fri Dec 06 10:12:15 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","50508","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:24:26 GMT 2024","passed","Fri Dec 06 10:25:17 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","60973","Admin create payment link - webkit","tests.tests_generation_unic_admin_links","Fri Dec 06 10:33:04 GMT 2024","passed","Fri Dec 06 10:34:05 GMT 2024","TestAdminLinkGeneration","test_admin_link_generation","",""
"","63535","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:08:24 GMT 2024","passed","Fri Dec 06 10:09:28 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","47605","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:23:39 GMT 2024","passed","Fri Dec 06 10:24:26 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_pdf_download_from_welcome_modal","",""
"","43917","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:25:45 GMT 2024","passed","Fri Dec 06 10:26:29 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","51273","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:05:34 GMT 2024","passed","Fri Dec 06 10:06:26 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","80771","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:08:37 GMT 2024","passed","Fri Dec 06 10:09:57 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","44248","QR type - webkit","tests.tests_nsf_flow","Fri Dec 06 10:33:15 GMT 2024","passed","Fri Dec 06 10:33:59 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
"","26843","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:23:56 GMT 2024","passed","Fri Dec 06 10:24:23 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_eps_download_from_welcome_modal","",""
"","75897","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:15:28 GMT 2024","passed","Fri Dec 06 10:16:44 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_svg_download_from_welcome_modal","",""
"","52076","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:13:17 GMT 2024","passed","Fri Dec 06 10:14:09 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_jpeg_download_from_welcome_modal","",""
"","47215","QR type - webkit","tests.tests_nsf_flow","Fri Dec 06 10:29:21 GMT 2024","passed","Fri Dec 06 10:30:08 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","46608","QR type - webkit","tests.tests_nsf_flow","Fri Dec 06 10:34:48 GMT 2024","passed","Fri Dec 06 10:35:34 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","45161","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:06:38 GMT 2024","passed","Fri Dec 06 10:07:23 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","52931","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:24:46 GMT 2024","passed","Fri Dec 06 10:25:39 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_jpeg_download_from_welcome_modal","",""
"","20861","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:29:15 GMT 2024","passed","Fri Dec 06 10:29:36 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","61037","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:09:58 GMT 2024","passed","Fri Dec 06 10:10:59 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","72351","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:12:36 GMT 2024","passed","Fri Dec 06 10:13:48 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","0","Comparative mobile preview and web view - webkit","tests.tests_frame_comperatives","Fri Dec 06 10:26:50 GMT 2024","skipped","Fri Dec 06 10:26:50 GMT 2024","TestFrameComparatives","test_frame_comperatives","",""
"","39796","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:03:28 GMT 2024","passed","Fri Dec 06 10:04:08 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","84377","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:11:07 GMT 2024","passed","Fri Dec 06 10:12:31 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","79382","QR type - webkit","tests.tests_dpf_flow.dpf_link_dpf_flow","Fri Dec 06 10:08:32 GMT 2024","passed","Fri Dec 06 10:09:52 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","55106","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:10:14 GMT 2024","passed","Fri Dec 06 10:11:09 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_pdf_download_welcome_modal","",""
"","55631","QR type - webkit","tests.tests_dpf_flow.dpf_link_cff_flow","Fri Dec 06 10:28:30 GMT 2024","passed","Fri Dec 06 10:29:26 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_png_download_from_welcome_modal","",""
"","18653","QR type - webkit","tests.tests_default_flow","Fri Dec 06 10:07:07 GMT 2024","passed","Fri Dec 06 10:07:25 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","22368","QR type - webkit","tests.tests_nsf_flow","Fri Dec 06 10:36:02 GMT 2024","passed","Fri Dec 06 10:36:25 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
