"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33899","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:32:01 GMT 2024","broken","Mon Dec 09 07:32:35 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","60197","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Mon Dec 09 07:29:28 GMT 2024","broken","Mon Dec 09 07:30:29 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","33338","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:29:20 GMT 2024","broken","Mon Dec 09 07:29:53 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","52238","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:28:44 GMT 2024","broken","Mon Dec 09 07:29:37 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","32854","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:28:44 GMT 2024","broken","Mon Dec 09 07:29:17 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","49044","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:33:09 GMT 2024","broken","Mon Dec 09 07:33:58 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_eps_download_welcome_modal","",""
"","0","QR type - chromium","tests.tests_default_flow","Mon Dec 09 07:28:28 GMT 2024","broken","Mon Dec 09 07:28:28 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","0","QR type - chromium","tests.tests_default_flow","Mon Dec 09 07:29:41 GMT 2024","broken","Mon Dec 09 07:29:41 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_png_download_welcome_modal","",""
"","0","QR type - chromium","tests.tests_default_flow","Mon Dec 09 07:30:52 GMT 2024","broken","Mon Dec 09 07:30:52 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_jpeg_download_welcome_modal","",""
"","0","QR type - chromium","tests.tests_default_flow","Mon Dec 09 07:30:45 GMT 2024","broken","Mon Dec 09 07:30:45 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_svg_download_welcome_modal","",""
"","32773","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Mon Dec 09 07:35:59 GMT 2024","broken","Mon Dec 09 07:36:32 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_eps_download_from_welcome_modal","",""
"","50820","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Mon Dec 09 07:28:45 GMT 2024","broken","Mon Dec 09 07:29:36 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","33620","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:32:16 GMT 2024","broken","Mon Dec 09 07:32:49 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","84476","QR type - chromium","tests.tests_dpf_flow.dpf_link_dpf_flow","Mon Dec 09 07:30:18 GMT 2024","broken","Mon Dec 09 07:31:42 GMT 2024","TestDPFSignUpFlow","test_dpf_sign_up_png_download_from_welcome_modal","",""
"","90264","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:30:49 GMT 2024","broken","Mon Dec 09 07:32:19 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_jpeg_download_welcome_modal","",""
"","76027","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:32:13 GMT 2024","broken","Mon Dec 09 07:33:29 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_pdf_download_welcome_modal","",""
"","34500","QR type - chromium","tests.tests_dpf_flow.dpf_link_cff_flow","Mon Dec 09 07:31:44 GMT 2024","broken","Mon Dec 09 07:32:18 GMT 2024","TestCFFSignUpFlow","test_cff_sign_up_svg_download_from_welcome_modal","",""
"","0","QR type - chromium","tests.tests_default_flow","Mon Dec 09 07:30:15 GMT 2024","broken","Mon Dec 09 07:30:15 GMT 2024","TestDefaultSignUpFlow","test_default_sign_up_eps_download_welcome_modal","",""
"","63311","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:31:43 GMT 2024","failed","Mon Dec 09 07:32:46 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_svg_download_welcome_modal","",""
"","34705","QR type - chromium","tests.tests_nsf_flow","Mon Dec 09 07:31:40 GMT 2024","broken","Mon Dec 09 07:32:15 GMT 2024","TestNSFSignUpFlow","test_nsf_sign_up_png_download_welcome_modal","",""
