"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 14 12:04:58 GMT 2024","Thu Nov 14 12:05:24 GMT 2024","25820","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Menu-Link QR type",""
"passed","Thu Nov 14 12:06:54 GMT 2024","Thu Nov 14 12:07:41 GMT 2024","46918","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Social_media QR type",""
"passed","Thu Nov 14 12:27:23 GMT 2024","Thu Nov 14 12:28:06 GMT 2024","42989","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Coupon QR type",""
"passed","Thu Nov 14 12:07:44 GMT 2024","Thu Nov 14 12:08:13 GMT 2024","28725","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","WhatsApp QR type",""
"passed","Thu Nov 14 12:24:39 GMT 2024","Thu Nov 14 12:25:20 GMT 2024","40487","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","WiFi QR type",""
"skipped","Thu Nov 14 11:55:14 GMT 2024","Thu Nov 14 11:55:14 GMT 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view",""
"skipped","Thu Nov 14 11:55:14 GMT 2024","Thu Nov 14 11:55:14 GMT 2024","0","tests","test_frame_comperatives","TestFrameComparatives","","","Comparative mobile preview and web view",""
"passed","Thu Nov 14 12:14:16 GMT 2024","Thu Nov 14 12:15:16 GMT 2024","59949","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Image QR type",""
"passed","Thu Nov 14 12:26:43 GMT 2024","Thu Nov 14 12:27:16 GMT 2024","33011","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","WhatsApp QR type",""
"passed","Thu Nov 14 12:15:23 GMT 2024","Thu Nov 14 12:16:42 GMT 2024","79240","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Video QR type",""
"passed","Thu Nov 14 11:56:00 GMT 2024","Thu Nov 14 11:56:37 GMT 2024","37091","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","PDF QR type",""
"passed","Thu Nov 14 12:03:30 GMT 2024","Thu Nov 14 12:04:31 GMT 2024","61151","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Menu-Menu QR type",""
"passed","Thu Nov 14 12:23:14 GMT 2024","Thu Nov 14 12:23:49 GMT 2024","34604","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","WiFi QR type",""
"passed","Thu Nov 14 12:04:29 GMT 2024","Thu Nov 14 12:04:59 GMT 2024","30025","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Menu-Link QR type",""
